"Year","Activity","Name","Allocation"
2010,"Aluminium smelting","New Zealand Aluminium Smelters Limited",210421
2010,"Burnt lime","Graymont (NZ) Limited",47144
2010,"Burnt lime","Holcim (New Zealand) Limited",3653
2010,"Burnt lime","Perry Resources (2008) Ltd",4712
2010,"Burnt lime","Websters Hydrated Lime Company Limited",948
2010,"Carbamide (urea)","Ballance Agri-Nutrients (Kapuni) Limited",93275
2010,"Carbon steel from cold ferrous feed","Fletcher Steel Limited",16818
2010,"Carbon steel from cold ferrous feed","KiwiRail Limited",34
2010,"Cartonboard","Whakatane Mill Limited",39164
2010,"Caustic soda","Oji Fibre Solutions (NZ) Limited",4958
2010,"Cementitious products","Fletcher Concrete and Infrastructure Limited",122925
2010,"Cementitious products","Holcim (New Zealand) Limited",87879
2010,"Clay bricks and field tiles","Clay Bricks Ltd",143
2010,"Clay bricks and field tiles","CSR Building Products (NZ) Ltd",1071
2010,"Clay bricks and field tiles","Marton Brick & Tile Co Limited",35
2010,"Clay bricks and field tiles","Southtile Limited",43
2010,"Cut roses","Avis Maree Zwart, Wilhelmus Jacobus Maria Zwart",32
2010,"Cut roses","Daphne Avis Stocks, Stephen Lloyd Stocks",45
2010,"Cut roses","Elisabeth Margi Jordens, Theodorus Nicolaas Maria Jordens",11
2010,"Cut roses","Franko Roses New Zealand Limited",66
2010,"Cut roses","Hsun-Yao Chuang",10
2010,"Cut roses","Jeffrey Guy Ward",52
2010,"Cut roses","John Hamilton Charles Falloon, Paul Gregory Whitehead, Suzanne Marie Whitehead",13
2010,"Cut roses","K & L Nurseries Limited",123
2010,"Cut roses","Moffatts Flower Company Limited",374
2010,"Cut roses","Riverland Holdings Limited",251
2010,"Cut roses","Robyn Ann Ogden-Robb, Trevor Charles Robb",39
2010,"Cut roses","Royal Roses Limited",12
2010,"Cut roses","Shipherd Nurseries Limited",340
2010,"Cut roses","Van Berlo Limited",73
2010,"Cut roses","Van Lier Nurseries Ltd",373
2010,"Ethanol","Anchor Ethanol Limited",3654
2010,"Fresh capsicums","Appleby Fresh Limited",49
2010,"Fresh capsicums","Buller Supplies Limited",5
2010,"Fresh capsicums","Flat-Tac Capsicums Limited",61
2010,"Fresh capsicums","Gourmet Mokai Limited",650
2010,"Fresh capsicums","Gourmet Paprika Limited",1789
2010,"Fresh capsicums","Harbour Head Growers Limited",47
2010,"Fresh capsicums","Homestead Produce Ltd",270
2010,"Fresh capsicums","J.S.Ewers Ltd",280
2010,"Fresh capsicums","Kipps' Patch Limited",10
2010,"Fresh capsicums","Marion Matthews, Troy Jonathan Matthews",19
2010,"Fresh capsicums","Poppas Peppers 2009 Limited",69
2010,"Fresh capsicums","Sinai Hort Limited",149
2010,"Fresh capsicums","Southern Paprika Limited",2148
2010,"Fresh capsicums","Under Glass (Bombay) Ltd",61
2010,"Fresh capsicums","Under Glass (Karaka) Limited",229
2010,"Fresh capsicums","Whakatane Growers Limited",361
2010,"Fresh cucumbers","Alwyn Ernest Inger, Anne Marie Inger",168
2010,"Fresh cucumbers","Bin Wang, YING ZHOU",28
2010,"Fresh cucumbers","Exception Limited",781
2010,"Fresh cucumbers","Green Harvest Growing Ltd.",168
2010,"Fresh cucumbers","Hanna Hothouses Ltd",86
2010,"Fresh cucumbers","Hedger Greenhouse Limited",26
2010,"Fresh cucumbers","Hope Hot House Ltd",28
2010,"Fresh cucumbers","Island Horticulture Limited",369
2010,"Fresh cucumbers","J.S.Ewers Ltd",203
2010,"Fresh cucumbers","Karaka Park Produce Limited",197
2010,"Fresh cucumbers","Maria Anna Van der Gulik, Pieter Van der Gulik",12
2010,"Fresh cucumbers","Meenakshi Devi Sharma, Raj Kumar Sharma",444
2010,"Fresh cucumbers","Parkgard Growers 2000 Limited",22
2010,"Fresh cucumbers","QUALITY FOOD PROCESSORS LTD",95
2010,"Fresh cucumbers","Under Glass (Bombay) Ltd",774
2010,"Fresh tomatoes","Ann Christine Fair, Graeme David Fair",1
2010,"Fresh tomatoes","Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",41
2010,"Fresh tomatoes","Avis Maree Zwart, Wilhelmus Jacobus Maria Zwart",28
2010,"Fresh tomatoes","Castle Rock Orchard Ltd",174
2010,"Fresh tomatoes","Dale Calderwood Frost, Elizabeth Kay Frost",9
2010,"Fresh tomatoes","Desma Claire Duncan, Edward Malcolm Duncan",7
2010,"Fresh tomatoes","Dong Hyuk Cha, Soo Hwan Cha",19
2010,"Fresh tomatoes","Douglas Eric Bone, Jacqueline Anne Duffy",4
2010,"Fresh tomatoes","Dulcie Margaret Turner, Trevor Allan Turner",29
2010,"Fresh tomatoes","Everard Matthew Sanders, Johanna Maria Sanders, Mathijs Albert Eduard Maria Sanders",98
2010,"Fresh tomatoes","Faye Elizabeth Ormandy, Graeme Jaxon Ormandy",29
2010,"Fresh tomatoes","Gordon Edward Hackett",4
2010,"Fresh tomatoes","Gourmet Mokai Limited",443
2010,"Fresh tomatoes","Great Lake Tomatoes Limited",1038
2010,"Fresh tomatoes","GREENTOP COMPANY LIMITED",18
2010,"Fresh tomatoes","Han Jeon Kang, Jae Rang Kang",19
2010,"Fresh tomatoes","Hanna Hothouses Ltd",146
2010,"Fresh tomatoes","Helen Joy Petrie, Kevin Francis Petrie",157
2010,"Fresh tomatoes","Hye Young Jung, Kyounglae Lee",22
2010,"Fresh tomatoes","IL KYU AHN",9
2010,"Fresh tomatoes","J.S.Ewers Ltd",1117
2010,"Fresh tomatoes","Ji-Im Park, Won Ha Park",28
2010,"Fresh tomatoes","Karamea Tomatoes Limited",146
2010,"Fresh tomatoes","Kingbridge Ltd",19
2010,"Fresh tomatoes","Kyung Duk Hwang, Myeong Ho Lee",15
2010,"Fresh tomatoes","Lai Ying Cuby Ng, Wa Chit Chan",22
2010,"Fresh tomatoes","Little Knoll Greenhouses Ltd",134
2010,"Fresh tomatoes","Mary Jane Fausett, Peter James Fausett",41
2010,"Fresh tomatoes","Mengye Investments Ltd.",14
2010,"Fresh tomatoes","Michael Theodore Gargiulo, Vicki Thresa Gargiulo",143
2010,"Fresh tomatoes","NAGRA BROTHERS LIMITED",31
2010,"Fresh tomatoes","New Zealand Fresh Floria Limited",20
2010,"Fresh tomatoes","Nortonta Limited",245
2010,"Fresh tomatoes","Parkgard Growers 2000 Limited",23
2010,"Fresh tomatoes","Pomoana Gardens Limited",47
2010,"Fresh tomatoes","Rembrandt van Rijen Limited",694
2010,"Fresh tomatoes","Status Produce Limited",3451
2010,"Fresh tomatoes","Tiny Toms Limited",27
2010,"Fresh tomatoes","Under Glass (Bombay) Ltd",975
2010,"Fresh tomatoes","Under Glass (Karaka) Limited",1333
2010,"Fresh tomatoes","Vege Fresh Growers Limited",73
2010,"Gelatine","GELITA NZ Ltd",1531
2010,"Glass containers","ACI OPERATIONS NZ LIMITED",14454
2010,"Hydrogen peroxide","EVONIK PEROXIDE LIMITED",5920
2010,"Iron and steel manufacturing from iron sand","New Zealand Steel Development Limited",494704
2010,"Lactose","Fonterra Ltd",13418
2010,"Market pulp","Oji Fibre Solutions (NZ) Limited",78896
2010,"Market pulp","Pan Pac Forest Products Limited",60593
2010,"Market pulp","Winstone Pulp International Limited",42254
2010,"Methanol","Methanex New Zealand Ltd",143074
2010,"Newsprint","Norske Skog Tasman Ltd",122826
2010,"Packaging and industrial paper","Carter Holt Harvey Ltd",10413
2010,"Packaging and industrial paper","Oji Fibre Solutions (NZ) Limited",60562
2010,"Protein meal","Affco New Zealand Limited",2798
2010,"Protein meal","Alliance Group Limited",2119
2010,"Protein meal","Blue Sky Meats (N.Z.) Limited",113
2010,"Protein meal","CMP Canterbury Limited",1141
2010,"Protein meal","CMP Kokiri Limited",275
