"Year","Allocation","IndustryGHG","unitdiscount","AllocatedGHG"
2010,1.763232,4.49665918214629,0.25,7.052928
2011,3.461556,4.50461162709067,0.5,6.923112
2012,3.451147,4.54166463349717,0.5,6.902294
2013,4.81581,4.66109526703912,0.5,9.63162
2014,4.4841,4.84916715471736,0.5,8.9682
2015,4.369366,4.9434473221982,0.5,8.738732
2016,4.307558,4.68130105046425,0.5,8.615116
2017,5.606415,4.71589379835439,0.67,8.36778358208955
2018,6.744229,4.64173167993979,0.83,8.12557710843373
2019,8.282779,4.69015888987153,1,8.282779
2020,7.716315,4.47995116997764,1,7.716315
2021,6.593253,4.70839532778259,1,6.593253
2022,6.146079,4.46915601145915,1,6.146079
