"Name","Allocation"
"New Zealand Steel Development Limited",16215689
"New Zealand Aluminium Smelters Limited",11036253
"Methanex New Zealand Ltd",8841205
"Fletcher Concrete and Infrastructure Limited",5053458
"Oji Fibre Solutions (NZ) Limited",4403209
"Ballance Agri-Nutrients (Kapuni) Limited",2628483
"Norske Skog Tasman Ltd",1959598
"Pan Pac Forest Products Limited",1821769
"Graymont (NZ) Limited",1544767
"Winstone Pulp International Limited",1408423
"Whakatane Mill Limited",1276451
"Holcim (New Zealand) Limited",1072395
"ACI OPERATIONS NZ LIMITED",457184
"Fonterra Limited",300553
"Asaleo Care New Zealand Limited",279928
"Nelson Pine Industries Limited",231022
"Fletcher Steel Limited",216779
"EVONIK PEROXIDE LIMITED",176797
"Daiken New Zealand Limited",151579
"Fonterra Ltd",149860
"Pacific Steel (NZ) Limited",145856
"Taranaki By-Products Ltd",129317
"Carter Holt Harvey Ltd",98805
"Affco New Zealand Limited",97359
"Southern Paprika Limited",96668
"Alliance Group Limited",91519
"Wallace Group Limited Partnership",88561
"Dongwha New Zealand Limited",86050
"Status Produce Limited",72947
"VISY GLASS OPERATIONS (NZ) LIMITED",70601
"Anchor Ethanol Limited",70102
"Wallace Corporation Limited",64740
"Tuakau Proteins Ltd",60646
"Gourmet Mokai Limited",59064
"Under Glass (Karaka) Limited",58014
"Daiken Southland Limited",57986
"Turners & Growers Fresh Limited",54073
"J.S.Ewers Ltd",52892
"CMP Canterbury Limited",52288
"Juken New Zealand Ltd",51723
"Gourmet Paprika Limited",50907
"Exception Limited",50394
"Websters Hydrated Lime Company Limited",49476
"Hawkes Bay Protein Limited",47378
"Under Glass (Bombay) Ltd",46377
"PVL Proteins Limited",35206
"Wallace Proteins Limited",28187
"Fletcher Building Products Limited",26972
"Graeme Lowe Protein Limited",26475
"Silver Fern Farms Limited",24233
"Farm Brands Limited",23982
"GELITA NZ Ltd",23144
"Sharma Produce Limited",18008
"Gourmet Waiuku Limited",17041
"Kakariki Proteins Limited",16694
"Value Proteins Ltd",14275
"Great Lake Tomatoes Limited",14273
"Tegel Foods Limited",13665
"Whakatane Growers Limited",12860
"CSR Building Products (NZ) Ltd",12634
"Taylor Preston Limited",12612
"Keep It Clean Limited",12586
"Meenakshi Devi Sharma, Raj Kumar Sharma",12545
"NZ HOT HOUSE LIMITED",12139
"Perry Resources (2008) Ltd",12058
"P H Kinzett Ltd",12005
"Island Horticulture Limited",11795
"Shipherd Nurseries Limited",11297
"Karaka Park Produce Limited",10899
"Perry Lime Limited",10554
"Moffatts Flower Company Limited",10261
"Lactanol Limited",10198
"Van Lier Nurseries Ltd",9783
"Vege Fresh Growers Limited",7844
"Blue Sky Meats (N.Z.) Limited",7263
"Rembrandt van Rijen Limited",7005
"Jai Shankar Growers Limited",6980
"Homestead Produce Ltd",5203
"Castle Rock Orchard Ltd",4783
"Blooming Hill Flowers Ltd",4416
"Prime Range Meats Limited",4403
"Karamea Tomatoes Limited",4199
"Sinai Hort Limited",4121
"Nortonta Limited",3263
"J.S. Mahey Limited",3097
"Poppas Peppers 2009 Limited",2871
"Hanna Hothouses Ltd",2853
"Riverland Holdings Limited",2622
"Hawk Group Limited",2463
"CMP Kokiri Limited",2283
"Alwyn Ernest Inger, Anne Marie Inger",2220
"Brigitte Abma, Ferdinand Abma",2031
"Taaza Green Limited",1802
"Parkgard Growers 2000 Limited",1598
"Ting-Yuan Robert Wu",1508
"Balvinder Singh, Pawan Kumari Singh",1464
"Everard Matthew Sanders, Johanna Maria Sanders, Mathijs Albert Eduard Maria Sanders",1436
"Antone James Ivicevich, Joanne Elizabeth Gould Ivicevich",1381
"Harbour Head Growers Ltd",1297
"Pomoana Gardens Limited",1276
"Van Berlo Limited",1114
"Mary Jane Fausett, Peter James Fausett",970
"Harbour Head Growers Limited",845
"Lee Processors Limited",829
"Helen Joy Petrie, Kevin Francis Petrie",775
"Flat-Tac Capsicums Limited",767
"Tiny Toms Limited",750
"Clay Bricks Ltd",713
"Michael Theodore Gargiulo, Vicki Thresa Gargiulo",703
"K & L Nurseries Limited",643
"Royal Roses Limited",570
"Kingbridge Ltd",471
"Franko Roses New Zealand Limited",454
"M.K Bhoondpal Limited",433
"M.C.H. & J. van Geest Nurseries Limited",425
"Little Knoll Greenhouses Ltd",394
"John Hamilton Charles Falloon, Paul Gregory Whitehead",365
"Daphne Avis Stocks, Stephen Lloyd Stocks",323
"Eseta Kovati, Reupena Kovati",314
"PFD Produce Limited",310
"Robyn Ann Ogden-Robb, Trevor Charles Robb",246
"Appleby Fresh Limited",245
"QUALITY FOOD PROCESSORS LTD",236
"New Zealand Fresh Floria Limited",235
"Marion Matthews, Troy Jonathan Matthews",230
"Yearbury Holdings Limited",229
